insumo,importe,acumulado_pct
HARINA,11270.18,10.737579929144536
COMBUSTIBLE,10165.99,20.423151072097358
CHOCOLATE,9703.300000000001,29.667897768819877
FONDANT,9540.0,38.75706160862003
EMPAQUE,7965.01,46.345665473991794
CHANTILLY,7658.0,53.641767851894265
RELLENO,7132.27,60.43698489379064
DECORACION,5617.15,65.78868265717988
HERRAMIENTA,4662.9400000000005,70.23126396065553
AMBIANTE,2855.5,72.95182028608
HUEVO,2726.65,75.5496157351147
MUEBLES,2500.0,77.93147208726357
CAPACILLOS,2251.16,80.07624798554498
BASES,2091.01,82.06844216590771
DOMO,2000.0,83.97392724762682
OTROS,1991.5700000000002,85.87138070972648
QUESO CREMA,1860.9,87.64433930401204
MANTEQUILLA,1795.5,89.35498853612536
ADMINISTRACION,1450.0,90.73646522037171
NO DEFINIDO,1340.5900000000001,92.01370234322262
TRANSFER,990.0,92.95691745867359
GALLETAS,952.03,93.86395693984811
ACEITE,909.5,94.73047628075987
CONSUMIBLES,793.45,95.48642984980488
DULCERIA,768.29,96.21841241652186
CASETAS,725.0,96.90915075864504
COLORANTES,722.0,97.59703087314563
ROYALICING,679.0,98.24394305838928
LICORES,639.0,98.85274554199853
AZUCAR,590.46,99.41530190267447
HORNEADO,279.5,99.6815934428447
LECHERA,154.4,99.82869689115343
LECHE EN POLVO,49.0,99.87538127565554
LECHE,48.8,99.9218751116495
JARABE,45.0,99.96474852598817
MANTECA VEGETAL,22.0,99.98570886188708
SABORIZANTE,15.0,99.99999999999997
CINTA,0.0,99.99999999999997
VELAS,0.0,99.99999999999997
