origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2024-01-01,2024-01-01,1,ss_ar1,65.0,852.6299217874646,695.2680060331825
2024-01-01,2024-01-01,1,hgb,65.0,580.5711531169108,695.2680060331825
2024-01-01,2024-01-01,1,hibrido,65.0,784.6152296198261,695.2680060331825
2024-01-01,2024-01-01,1,ultimo_valor,65.0,985.0,695.2680060331825
2024-01-01,2024-01-01,1,promedio_4s,65.0,1191.0275000000001,695.2680060331825
2024-01-01,2024-01-01,1,estacional_52s,65.0,1295.4,695.2680060331825
2024-01-01,2024-01-08,2,ss_ar1,963.6800000000001,851.1309770392323,695.2680060331825
2024-01-01,2024-01-08,2,hgb,963.6800000000001,1555.4488066549657,695.2680060331825
2024-01-01,2024-01-08,2,hibrido,963.6800000000001,1379.3693492510324,695.2680060331825
2024-01-01,2024-01-08,2,ultimo_valor,963.6800000000001,985.0,695.2680060331825
2024-01-01,2024-01-08,2,promedio_4s,963.6800000000001,1191.0275000000001,695.2680060331825
2024-01-01,2024-01-08,2,estacional_52s,963.6800000000001,373.0,695.2680060331825
2024-01-01,2024-01-15,3,ss_ar1,115.0,851.1140031476355,695.2680060331825
2024-01-01,2024-01-15,3,rf,115.0,994.3096423179192,695.2680060331825
2024-01-01,2024-01-15,3,hibrido,115.0,886.9129129402064,695.2680060331825
2024-01-01,2024-01-15,3,ultimo_valor,115.0,985.0,695.2680060331825
2024-01-01,2024-01-15,3,promedio_4s,115.0,1191.0275000000001,695.2680060331825
2024-01-01,2024-01-15,3,estacional_52s,115.0,1129.39,695.2680060331825
2024-01-01,2024-01-22,4,ss_ar1,342.0,851.1138109370845,695.2680060331825
2024-01-01,2024-01-22,4,hgb,342.0,1036.36759129816,695.2680060331825
2024-01-01,2024-01-22,4,hibrido,342.0,990.0541462078912,695.2680060331825
2024-01-01,2024-01-22,4,ultimo_valor,342.0,985.0,695.2680060331825
2024-01-01,2024-01-22,4,promedio_4s,342.0,1191.0275000000001,695.2680060331825
